GameNum,Date,Time,AwayFlag,Opponent,Result,OT,Lat,Long
33,1/1/2015,8:00p EST,,Denver Nuggets,W,,41.880556,-87.674167
31,1/1/2016,8:00p EST,,New York Knicks,W,,41.880556,-87.674167
38,1/10/2015,8:00p EST,,Milwaukee Bucks,W,,41.880556,-87.674167
35,1/11/2014,,,Charlotte Bobcats,W,,41.880556,-87.674167
36,1/11/2016,8:00p EST,,Washington Wizards,L,,41.880556,-87.674167
39,1/12/2015,8:00p EST,,Orlando Magic,L,,41.880556,-87.674167
36,1/13/2014,,,Washington Wizards,L,,41.880556,-87.674167
40,1/14/2015,8:00p EST,,Washington Wizards,L,,41.880556,-87.674167
39,1/15/2016,8:00p EST,,Dallas Mavericks,L,,41.880556,-87.674167
42,1/17/2015,8:00p EST,,Atlanta Hawks,L,,41.880556,-87.674167
39,1/18/2014,,,Philadelphia 76ers,W,,41.880556,-87.674167
31,1/2/2014,,,Boston Celtics,W,,41.880556,-87.674167
40,1/20/2014,,,Los Angeles Lakers,W,OT,41.880556,-87.674167
41,1/20/2016,8:00p EST,,Golden State Warriors,L,,41.880556,-87.674167
44,1/22/2015,8:00p EST,,San Antonio Spurs,W,,41.880556,-87.674167
42,1/24/2014,,,Los Angeles Clippers,L,,41.880556,-87.674167
46,1/25/2015,1:00p EST,,Miami Heat,L,,41.880556,-87.674167
44,1/25/2016,8:00p EST,,Miami Heat,L,,41.880556,-87.674167
44,1/27/2014,,,Minnesota Timberwolves,L,,41.880556,-87.674167
34,1/3/2015,8:00p EST,,Boston Celtics,W,OT,41.880556,-87.674167
86,1/3/2015,,,Detroit Lions,L,,41.862500,-87.616667
32,1/4/2014,,,Atlanta Hawks,W,,41.880556,-87.674167
35,1/5/2015,8:00p EST,,Houston Rockets,W,,41.880556,-87.674167
33,1/5/2016,8:00p EST,,Milwaukee Bucks,W,,41.880556,-87.674167
33,1/7/2014,,,Phoenix Suns,W,,41.880556,-87.674167
36,1/7/2015,8:00p EST,,Utah Jazz,L,,41.880556,-87.674167
34,1/7/2016,8:00p EST,,Boston Celtics,W,,41.880556,-87.674167
78,10/10/2013,,,New York Giants,W,,41.862500,-87.616667
84,10/19/2014,,,Miami Dolphins,L,,41.862500,-87.616667
1,10/27/2015,8:00p EST,,Cleveland Cavaliers,W,,41.880556,-87.674167
2,10/31/2013,,,New York Knicks,W,,41.880556,-87.674167
2,10/31/2014,8:00p EST,,Cleveland Cavaliers,L,OT,41.880556,-87.674167
87,10/4/2015,,,Oakland Raiders,W,,41.862500,-87.616667
83,10/6/2013,,,New Orleans Saints,L,,41.862500,-87.616667
4,11/1/2015,7:00p EST,,Orlando Magic,W,,41.880556,-87.674167
89,11/1/2015,,,Minnesota Vikings,L,,41.862500,-87.616667
82,11/10/2013,,,Detroit Lions,L,,41.862500,-87.616667
8,11/10/2014,8:00p EST,,Detroit Pistons,W,,41.880556,-87.674167
6,11/11/2013,,,Cleveland Cavaliers,W,,41.880556,-87.674167
9,11/13/2015,8:00p EST,,Charlotte Hornets,W,,41.880556,-87.674167
10,11/15/2014,8:00p EST,,Indiana Pacers,L,,41.880556,-87.674167
8,11/16/2013,,,Indiana Pacers,W,,41.880556,-87.674167
86,11/16/2014,,,Minnesota Vikings,W,,41.862500,-87.616667
10,11/16/2015,8:00p EST,,Indiana Pacers,W,,41.880556,-87.674167
84,11/17/2013,,,Baltimore Ravens,W,,41.862500,-87.616667
9,11/18/2013,,,Charlotte Bobcats,W,,41.880556,-87.674167
84,11/22/2015,,,Denver Broncos,L,,41.862500,-87.616667
81,11/23/2014,,,Tampa Bay Buccaneers,W,,41.862500,-87.616667
15,11/30/2015,8:00p EST,,San Antonio Spurs,W,,41.880556,-87.674167
4,11/4/2014,8:00p EST,,Orlando Magic,W,,41.880556,-87.674167
6,11/5/2015,8:00p EST,,Oklahoma City Thunder,W,,41.880556,-87.674167
7,11/7/2015,6:00p EST,,Minnesota Timberwolves,L,OT,41.880556,-87.674167
5,11/8/2013,,,Utah Jazz,W,,41.880556,-87.674167
7,11/8/2014,8:00p EST,,Boston Celtics,L,,41.880556,-87.674167
19,12/10/2013,,,Milwaukee Bucks,L,,41.880556,-87.674167
21,12/10/2014,8:00p EST,,Brooklyn Nets,W,,41.880556,-87.674167
20,12/10/2015,8:00p EST,,Los Angeles Clippers,W,,41.880556,-87.674167
22,12/12/2014,7:00p EST,,Portland Trail Blazers,W,,41.880556,-87.674167
21,12/12/2015,8:00p EST,,New Orleans Pelicans,W,,41.880556,-87.674167
90,12/13/2015,,,Washington Redskins,L,,41.862500,-87.616667
22,12/14/2013,,,Toronto Raptors,L,,41.880556,-87.674167
22,12/14/2015,8:00p EST,,Philadelphia 76ers,W,,41.880556,-87.674167
87,12/15/2014,,,New Orleans Saints,L,,41.862500,-87.616667
23,12/16/2013,,,Orlando Magic,L,,41.880556,-87.674167
23,12/16/2015,8:00p EST,,Memphis Grizzlies,W,,41.880556,-87.674167
25,12/18/2014,8:00p EST,,New York Knicks,W,,41.880556,-87.674167
24,12/18/2015,8:00p EST,,Detroit Pistons,L,4OT,41.880556,-87.674167
16,12/2/2013,,,New Orleans Pelicans,L,3OT,41.880556,-87.674167
18,12/2/2014,8:00p EST,,Dallas Mavericks,L,2OT,41.880556,-87.674167
16,12/2/2015,8:00p EST,,Denver Nuggets,W,,41.880556,-87.674167
26,12/21/2013,,,Cleveland Cavaliers,W,,41.880556,-87.674167
82,12/21/2014,,,Detroit Lions,L,,41.862500,-87.616667
26,12/21/2015,8:00p EST,,Brooklyn Nets,L,,41.880556,-87.674167
27,12/22/2014,8:00p EST,,Toronto Raptors,W,,41.880556,-87.674167
29,12/25/2014,8:00p EST,,Los Angeles Lakers,W,,41.880556,-87.674167
30,12/27/2014,8:00p EST,,New Orleans Pelicans,W,,41.880556,-87.674167
28,12/28/2013,,,Dallas Mavericks,L,,41.880556,-87.674167
29,12/28/2015,8:00p EST,,Toronto Raptors,W,,41.880556,-87.674167
83,12/29/2013,,,Green Bay Packers,L,,41.862500,-87.616667
32,12/30/2014,8:00p EST,,Brooklyn Nets,L,,41.880556,-87.674167
30,12/30/2015,8:00p EST,,Indiana Pacers,W,OT,41.880556,-87.674167
30,12/31/2013,,,Toronto Raptors,L,,41.880556,-87.674167
85,12/4/2014,,,Dallas Cowboys,L,,41.862500,-87.616667
17,12/5/2013,,,Miami Heat,W,,41.880556,-87.674167
17,12/5/2015,8:00p EST,,Charlotte Hornets,L,,41.880556,-87.674167
20,12/6/2014,8:00p EST,,Golden State Warriors,L,,41.880556,-87.674167
88,12/6/2015,,,San Francisco 49ers,L,,41.862500,-87.616667
18,12/7/2013,,,Detroit Pistons,L,,41.880556,-87.674167
18,12/7/2015,8:00p EST,,Phoenix Suns,L,,41.880556,-87.674167
79,12/9/2013,,,Dallas Cowboys,W,,41.862500,-87.616667
53,2/10/2015,8:00p EST,,Sacramento Kings,W,,41.880556,-87.674167
52,2/10/2016,8:00p EST,,Atlanta Hawks,L,,41.880556,-87.674167
51,2/11/2014,,,Atlanta Hawks,W,,41.880556,-87.674167
54,2/12/2015,8:00p EST,,Cleveland Cavaliers,W,,41.880556,-87.674167
52,2/13/2014,,,Brooklyn Nets,W,,41.880556,-87.674167
54,2/19/2016,8:00p EST,,Toronto Raptors,,,41.880556,-87.674167
54,2/21/2014,,,Denver Nuggets,W,,41.880556,-87.674167
56,2/21/2015,8:00p EST,,Phoenix Suns,W,,41.880556,-87.674167
55,2/21/2016,8:00p EST,,Los Angeles Lakers,,,41.880556,-87.674167
57,2/23/2015,8:00p EST,,Milwaukee Bucks,W,,41.880556,-87.674167
56,2/24/2016,8:00p EST,,Washington Wizards,,,41.880556,-87.674167
58,2/25/2015,8:00p EST,,Charlotte Hornets,L,,41.880556,-87.674167
57,2/26/2014,,,Golden State Warriors,W,,41.880556,-87.674167
59,2/27/2015,8:00p EST,,Minnesota Timberwolves,W,,41.880556,-87.674167
58,2/27/2016,8:00p EST,,Portland Trail Blazers,,,41.880556,-87.674167
60,3/1/2015,1:00p EST,,Los Angeles Clippers,L,,41.880556,-87.674167
64,3/11/2014,,,San Antonio Spurs,L,,41.880556,-87.674167
64,3/11/2016,8:00p EST,,Miami Heat,,,41.880556,-87.674167
65,3/13/2014,,,Houston Rockets,W,,41.880556,-87.674167
66,3/15/2014,,,Sacramento Kings,W,,41.880556,-87.674167
67,3/17/2014,,,Oklahoma City Thunder,L,,41.880556,-87.674167
67,3/17/2016,8:00p EST,,Brooklyn Nets,,,41.880556,-87.674167
69,3/18/2015,8:00p EST,,Indiana Pacers,W,,41.880556,-87.674167
68,3/19/2016,8:00p EST,,Utah Jazz,,,41.880556,-87.674167
59,3/2/2014,,,New York Knicks,W,,41.880556,-87.674167
70,3/20/2015,8:00p EST,,Toronto Raptors,W,,41.880556,-87.674167
69,3/21/2016,8:00p EST,,Sacramento Kings,,,41.880556,-87.674167
70,3/22/2014,,,Philadelphia 76ers,W,,41.880556,-87.674167
72,3/23/2015,8:00p EST,,Charlotte Hornets,W,,41.880556,-87.674167
70,3/23/2016,8:00p EST,,New York Knicks,,,41.880556,-87.674167
71,3/24/2014,,,Indiana Pacers,W,,41.880556,-87.674167
72,3/28/2014,,,Portland Trail Blazers,L,,41.880556,-87.674167
74,3/28/2015,8:00p EST,,New York Knicks,W,,41.880556,-87.674167
73,3/28/2016,8:00p EST,,Atlanta Hawks,,,41.880556,-87.674167
61,3/3/2015,8:00p EST,,Washington Wizards,W,,41.880556,-87.674167
74,3/31/2014,,,Boston Celtics,W,,41.880556,-87.674167
62,3/5/2015,8:00p EST,,Oklahoma City Thunder,W,,41.880556,-87.674167
61,3/5/2016,8:30p EST,,Houston Rockets,,,41.880556,-87.674167
62,3/7/2014,,,Memphis Grizzlies,L,,41.880556,-87.674167
62,3/7/2016,8:00p EST,,Milwaukee Bucks,,,41.880556,-87.674167
63,3/9/2014,,,Miami Heat,W,OT,41.880556,-87.674167
65,3/9/2015,8:00p EST,,Memphis Grizzlies,L,,41.880556,-87.674167
79,4/11/2014,,,Detroit Pistons,W,,41.880556,-87.674167
80,4/11/2015,8:00p EST,,Philadelphia 76ers,W,,41.880556,-87.674167
82,4/13/2016,8:00p EST,,Philadelphia 76ers,,,41.880556,-87.674167
81,4/14/2014,,,Orlando Magic,W,,41.880556,-87.674167
82,4/15/2015,8:00p EST,,Atlanta Hawks,W,,41.880556,-87.674167
76,4/2/2016,8:00p EST,,Detroit Pistons,,,41.880556,-87.674167
76,4/3/2015,8:00p EST,,Detroit Pistons,W,,41.880556,-87.674167
76,4/4/2014,,,Milwaukee Bucks,W,,41.880556,-87.674167
80,4/9/2016,8:30p EST,,Cleveland Cavaliers,,,41.880556,-87.674167
88,9/13/2015,,,Green Bay Packers,L,,41.880556,-87.616667
81,9/15/2013,,,Minnesota Vikings,W,,41.880556,-87.616667
83,9/20/2015,,,Arizona Cardinals,L,,41.880556,-87.616667
80,9/28/2014,,,Green Bay Packers,L,,41.880556,-87.616667
85,9/7/2014,,,Buffalo Bills,L,,41.880556,-87.616667
77,9/8/2013,,,Cincinnati Bengals,W,,41.880556,-87.616667
75,04/05/2013,7:00p EST,,Orlando Magic,W,,41.880556,-87.616667
42,1/25/2013,7:00p EST,,Golden State Warriors,W,,41.880556,-87.616667
62,03/08/2013,7:00p EST,,Utah Jazz,W,,41.880556,-87.616667
29,12/31/2012,2:00p EST,,Charlotte Bobcats,L,,41.880556,-87.616667
51,02/11/2013,7:00p EST,,San Antonio Spurs,L,,41.880556,-87.616667
36,01/14/2013,7:00p EST,,Atlanta Hawks,W,,41.880556,-87.616667
40,01/21/2013,8:30p EST,,Los Angeles Lakers,W,,41.880556,-87.616667
44,01/28/2013,7:00p EST,,Charlotte Bobcats,W,,41.880556,-87.616667
32,01/07/2013,7:00p EST,,Cleveland Cavaliers,W,,41.880556,-87.616667
66,03/18/2013,7:00p EST,,Denver Nuggets,L,OT,41.880556,-87.616667
7,11/12/2012,7:00p EST,,Boston Celtics,L,,41.880556,-87.616667
13,11/26/2012,7:00p EST,,Milwaukee Bucks,L,,41.880556,-87.616667
15,12/01/2012,7:00p EST,,Philadelphia 76ers,W,,41.880556,-87.616667
22,12/15/2012,7:00p EST,,Brooklyn Nets,W,,41.880556,-87.616667
28,12/29/2012,7:00p EST,,Washington Wizards,W,,41.880556,-87.616667
19,12/08/2012,7:00p EST,,New York Knicks,W,,41.880556,-87.616667
35,01/12/2013,7:00p EST,,Phoenix Suns,L,,41.880556,-87.616667
39,01/19/2013,7:00p EST,,Memphis Grizzlies,L,OT,41.880556,-87.616667
59,03/02/2013,7:00p EST,,Brooklyn Nets,W,,41.880556,-87.616667
68,03/23/2013,7:00p EST,,Indiana Pacers,W,,41.880556,-87.616667
6,11/10/2012,7:00p EST,,Minnesota Timberwolves,W,,41.880556,-87.616667
3,11/03/2012,7:00p EST,,New Orleans Hornets,L,,41.880556,-87.616667
72,03/31/2013,6:00p EST,,Detroit Pistons,W,,41.880556,-87.616667
78,04/11/2013,7:00p EST,,New York Knicks,W,OT,41.880556,-87.616667
54,02/21/2013,7:00p EST,,Miami Heat,L,,41.880556,-87.616667
58,02/28/2013,7:00p EST,,Philadelphia 76ers,W,,41.880556,-87.616667
67,03/21/2013,7:00p EST,,Portland Trail Blazers,L,,41.880556,-87.616667
5,11/08/2012,7:00p EST,,Oklahoma City Thunder,L,,41.880556,-87.616667
77,04/09/2013,7:00p EST,,Toronto Raptors,L,,41.880556,-87.616667
20,12/11/2012,8:30p EST,,Los Angeles Clippers,L,,41.880556,-87.616667
24,12/18/2012,7:00p EST,,Boston Celtics,W,,41.880556,-87.616667
27,12/25/2012,7:00p EST,,Houston Rockets,L,,41.880556,-87.616667
16,12/04/2012,7:00p EST,,Indiana Pacers,L,,41.880556,-87.616667
57,02/26/2013,7:00p EST,,Cleveland Cavaliers,L,,41.880556,-87.616667
4,11/06/2012,7:00p EST,,Orlando Magic,W,,41.880556,-87.616667
82,04/17/2013,7:00p EST,,Washington Wizards,W,,41.880556,-87.616667
41,01/23/2013,7:00p EST,,Detroit Pistons,W,,41.880556,-87.616667
33,01/09/2013,7:00p EST,,Milwaukee Bucks,L,,41.880556,-87.616667
70,03/27/2013,7:00p EST,,Miami Heat,W,,41.880556,-87.616667
14,11/28/2012,7:00p EST,,Dallas Mavericks,W,,41.880556,-87.616667
1,10/31/2012,7:00p EST,,Sacramento Kings,W,,41.880556,-87.616667